🕘️更新时间,#genre#
2025-02-09 18:32:49,http://148.135.93.213:81/live.php?id=CCTV1

❤️服务器升级中...❤️,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1\
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010011
CCTV1,http://58.58.111.222:808/hls/101/index.m3u8
CCTV1,http://110.42.96.4:44801/1000000001000018602/ystenlive/index.m3u8
CCTV1,http://119.125.134.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://111.8.242.107:9999/tsfile/live/1063_1.m3u8
CCTV1,http://1.196.193.27:808/hls/1/index.m3u8
CCTV1,http://58.254.14.69:808/hls/1/index.m3u8

❤️9号晚上6点前完成❤️,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1\
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010011
CCTV1,http://58.58.111.222:808/hls/101/index.m3u8
CCTV1,http://110.42.96.4:44801/1000000001000018602/ystenlive/index.m3u8
CCTV1,http://119.125.134.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://111.8.242.107:9999/tsfile/live/1063_1.m3u8
CCTV1,http://1.196.193.27:808/hls/1/index.m3u8
CCTV1,http://58.254.14.69:808/hls/1/index.m3u8

❤️届时重启软件即可❤️,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1\
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010011
CCTV1,http://58.58.111.222:808/hls/101/index.m3u8
CCTV1,http://110.42.96.4:44801/1000000001000018602/ystenlive/index.m3u8
CCTV1,http://119.125.134.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://111.8.242.107:9999/tsfile/live/1063_1.m3u8
CCTV1,http://1.196.193.27:808/hls/1/index.m3u8
CCTV1,http://58.254.14.69:808/hls/1/index.m3u8

❤️重启后会恢复所有频道❤️,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1\
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010011
CCTV1,http://58.58.111.222:808/hls/101/index.m3u8
CCTV1,http://110.42.96.4:44801/1000000001000018602/ystenlive/index.m3u8
CCTV1,http://119.125.134.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://111.8.242.107:9999/tsfile/live/1063_1.m3u8
CCTV1,http://1.196.193.27:808/hls/1/index.m3u8
CCTV1,http://58.254.14.69:808/hls/1/index.m3u8

🔆央视卫视①🔆,#genre#
👉卡顿请左右键切换源👈,https://d.kstore.dev/download/7692/1.mp4
